﻿Consumeable_SlgPersonal,Consumables,ของใช้
ItemName_dlc香包,Sachet,ถุงเครื่องหอม
ItemName_dlc花环,Wreath,พวงมาลา
ItemName_dlc西江月,Moon over West River,จันทราเหนือธาราตะวันตก
ItemName_dlc满江红,Prismatic River,พัดแม่น้าสีชาด
ItemName_dlc破阵子,Formation Breaker,พัดฝ่าขบวนรบ
ItemName_dlc祝融,Zhurong,พัดเทพจู้หรง
ItemName_dlc夸父,Kuafu,พัดเซียนควาฟู่
ItemName_dlc青丘,Qingqiu,พัดชิงชิว
ItemName_dlc艾草束,Wormwood bundle,พวงบอระเพ็ด
ItemName_dlc铁手,Iron fist,ถุงมือเหล็ก
ItemName_dlc缠丝拳套,Silk glove,ถุงมือผ้าไหม
ItemName_dlc飞来梭,Flying dagger,มีดบิน
ItemName_dlc流云锥,Drifting Cloud,กริชเกลียวเมฆาไหล
ItemName_dlc织女梭,Weaver Girl,กระสวยสาวทอผ้า
ItemName_dlc嘲风,Wind Jester,เฉาเฟิง
ItemName_dlc精卫,Jingwei,จิงเว่ย
ItemName_dlc睚眦,Vengeful,หยาจื้อ
ItemName_dlc白虹剑,Rainbow sword,กระบี่รุ้งขาว
ItemName_dlc紫电剑,Lightning sword,กระบี่อัสนีม่วง
ItemName_dlc砍山刀,Mountain blade,ดาบภูเขา
ItemName_dlc鸡距,Cockspur,พู่กันเดือยไก่
ItemName_dlc龙须,Dragon Whisker,พู่กันหนวดมังกร
ItemName_dlc麟角,Unicorn Horn,พู่กันเขากิเลน
ItemName_dlc太虚,Taixu,พู่กันไท่ซวี
ItemName_dlc玄黄,Mysterious Yellow,พู่กันเหลืองลึกลับ
ItemName_dlc洪荒,Primal Land,พู่กันบรรพกาล
ItemName_dlc九环刀,Nine rings blade,ดาบเก้าห่วง
ItemName_dlc蛇矛枪,Snake spear,หอกงู
ItemName_dlc混铁枪,Iron spear,หอกเหล็ก
ItemName_dlc春雷,Spring Thunder,กู่ฉินสายฟ้าลั่นในวสันตฤดู
ItemName_dlc焦尾,Scorched Tail,กู่ฉินหางไหม้
ItemName_dlc绿绮,Green Beauty,กู่ฉินลายไม้เขียว
ItemName_dlc绕梁,Lingering,กู่ฉินสะท้านภพ
ItemName_dlc号钟,Bell Sound,กู่ฉินระฆังกังวาน
ItemName_dlc囚牛,Qiuniu,กู่ฉินมังกรฉิวหนิว
ItemName_dlc镔铁杖,Steel staff,พลองเหล็ก
ItemName_dlc齐眉棍,Eyebrow staff,พลองเสมอคิ้ว
ItemName_dlc雕翎扇,Eagle feather fan,พัดขนนกอินทรี
ItemName_dlc枉凝眉,Vain Eyebrows,ขลุ่ยคิ้วขมวด
ItemName_dlc关山月,Mountain Moon,ขลุ่ยภูผาจันทรา
ItemName_dlc冷沧浪,Blue Waves,ขลุ่ยคลื่นคราม
ItemName_dlc有凤来仪,Phoenix's Grace,ขลุ่ยห้วงวิหคเพลิง
ItemName_dlc碧海潮声,Sound of the Tide,ขลุ่ยคลื่นมรกต
ItemName_dlc笑傲江湖,Proud Wanderer,ขลุ่ยเย้ยยุทธจักร
ItemName_dlc留香扇,Liuxiang fan,พัดธูป
ItemName_dlc狼牙匕,Wolf fang dagger,มีดเขี้ยวหมาป่า
ItemName_dlc三棱锥,Tri-dagger,ไตรกริช
ItemName_dlc双凤琵琶,Twin Phoenix lute,ผีผาหงส์คู่
ItemName_dlc绕殿雷,Circling Thunder,ผีผาก้องอัสนี
ItemName_dlc烧槽,Burning Hole,ผีผาหลุมไหม้
ItemName_dlc玄象,Mysterious Elephant,ผีผาทางช้างเผือก
ItemName_dlc青山,Blue Mountain,ผีผาภูผามรกต
ItemName_dlc狮子丸,Lion Ball,ผีผาลูกแก้วราชสีห์
ItemName_dlc圆锋,Round Edge,พู่กันขอบกลม
ItemName_dlc昌化,Changhua,พู่กันจังฮวา
ItemName_dlc七弦,Seven Strings,กู่ฉิน 7 สาย
ItemName_dlc独幽,Loneliness,กู่ฉินเดียวดาย
ItemName_dlc紫竹箫,Violet bamboo flute,ขลุ่ยไม้ไผ่ม่วง
ItemName_dlc玉屏箫,Jade flute,ขลุ่ยหยก
ItemName_dlc牛角琵琶,Ox horn lute,ผีผาเขาวัว
ItemName_dlc流云衫,Drifting Cloud robe,เสื้อคลุมเคลื่อนเมฆา
ItemName_dlc金刚甲,Diamond armor,เกราะวัชระ
ItemName_dlc明光铠,Glorious armor,เกราะเจิดจรัส
ItemName_dlc朱雀服,Phoenix outfit,ชุดวิหคเพลิง
ItemName_dlc麒麟甲,Unicorn armor,เกราะกิเลน
ItemName_dlc玄武铠,Turtle armor,เกราะเต่าดำ
ItemName_dlc紫罗裙,Purple dress,ชุดแพรม่วง
ItemName_dlc天蚕宝衣,Silk armor,เกราะอ่อนขนเม่น
ItemName_dlc霹雳宝铠,Thunder armor,เกราะอัสนีบาต
ItemName_dlc锦襕袈裟,Brocade Kasaya,จีวรผ้าปักไหมทอง
ItemName_dlc广袖流仙裙,Wide Sleeve Flowing Fairy Skirt,ชุดเทพธิดาพริ้ว
ItemName_dlc象牙琵琶,Elephant tooth lute,ผีผางาช้าง
ItemName_dlc精铁内甲,Steel armor,เกราะเหล็ก
ItemName_dlc锁子铠,Chain armor,เกราะโซ่
ItemName_dlc僧袍,Monk robe,จีวร
ItemName_dlc道袍,Taoist robe,เสื้อคลุมลัทธิเต๋า
ItemName_dlc佛手玉坠,Buddha earrings,จี้หยกพระหัตถ์
ItemName_dlc投名状,Nomination Certificate,ใบรับรองความภักดี
ItemName_dlc工字佩,"""GONG"" inscripted jade ornament",จี้รูปตัว 工
ItemName_dlc三彩乐俑,Three colors statue,รูปปั้นตุ๊กตาสามสี
ItemName_dlc三足金蟾,Three-legged golden toad,คางคกทองสามขา
ItemName_dlc双鱼玉佩,Yin Yang jade ornament,จี้หยกหยินหยาง
ItemName_dlc玉莲花,Lotus gem,จี้หยกบัวหลวง
ItemName_dlc滴水观音,Water Avalokitesvara,จี้หยดน้ำเจ้าแม่กวนอิม
ItemName_dlc玉辟邪,Exorcist gem,หยกปัดเป่าสิ่งชั่วร้าย
ItemName_dlc金雕长羽,Golden eagle feather,ขนอินทรีทอง
ItemName_dlc玉如意,Wish gem,หยกปรารถนา
ItemName_dlc寒玉玦,Cold gem,ข้อมือหยกเย็น
ItemName_dlc金蚕蛊,Golden silkworm,กู่พิษหนอนไหมทอง
ItemName_dlc凤鸟玉佩,Phoenix jade ornament,จี้หยกหงสา
ItemName_dlc天穹之印,Seal of the Sky,ตราประทับแห่งสวรรค์
ItemName_dlc金疮药(小),Healing powder,ยาผงสมานแผล
ItemName_dlc金疮药(中),Healing medicine,ยาสมานแผล
ItemName_dlc金疮药(大),Stardew pill,โอสถน้ำค้างหยก
ItemName_dlc续命丸(小),Regenerate Powder,ยาผงฟื้นฟู
ItemName_dlc续命丸(中),Life preservation pill,โอสถบำรุงชีวิต
ItemName_dlc续命丸(大),Revival pill,โอสถฟื้นชีพ
ItemName_dlc培元膏(小),Qi Supplementing Pill,เม็ดยาฟื้นฟูปราณ
ItemName_dlc培元膏(中),Healing ointment,ยาปรับลมปราณ
ItemName_dlc培元膏(大),Recovery pill,โอสถฟื้นฟูปราณ
ItemName_dlc聚元丹(小),Energy powder,ยาผงฟื้นฟูปราณ
ItemName_dlc聚元丹(中),Breath Recovery Powder,ยาผงฟื้นลมหายใจ
ItemName_dlc聚元丹(大),Cultivation Powder,ยาบำเพ็ญเซียน
ItemName_dlc小还丹(小),Small pill,โอสถคืนพลังเล็ก
ItemName_dlc小还丹(中),Big pill,โอสถคืนพลังใหญ่
ItemName_dlc小还丹(大),Nine-times refined pill,โอสถเม็ดทองคำเก้าครา
ItemName_dlc大还丹(小),Fragrance preservation pill,โอสถหอมรักษาสวรรค์
ItemName_dlc大还丹(中),Heavenly King Heart Supplementing Pill,โอสถบำรุงหัวใจจักรพรรดิ์สวรรค์
ItemName_dlc大还丹(大),Full recovery pill,โอสถฟื้นคืนสวรรค์
ItemName_dlc蜜饯果子,Candied fruit,ผลไม้เชื่อม
ItemName_dlc雕花橙子,Carved orange,ส้มแกะสลัก
ItemName_dlc雪花糕,Milk snow cake,ขนมนมหิมะ
ItemName_dlc铜钱包裹(小),RareCoin supply,เสบียงเหรียญหายาก
ItemName_dlc铜钱包裹(中),EpicCoin supply,เสบียงเหรียญมหากาพย์
ItemName_dlc铜钱包裹(大),LegendaryCoin supply,เสบียงเหรียญตำนาน
ItemName_dlc发展包裹(小),Rare meditation point supply,เสบียงแต้มสมาธิหายาก
ItemName_dlc发展包裹(中),Epic meditation point supply,เสบียงแต้มสมาธิมหากาพย์
ItemName_dlc发展包裹(大),Legendary meditation point supply,เสบียงแต้มสมาธิตำนาน
ItemName_dlc粮食包裹(小),Rare food supply,เสบียงอาหารหายาก
ItemName_dlc粮食包裹(中),Epic food supply,เสบียงอาหารมหากาพย์
ItemName_dlc粮食包裹(大),Legendary food supply,เสบียงอาหารตำนาน
ItemName_dlc矿物包裹(小),Rare mineral supply,เสบียงแร่หายาก
ItemName_dlc矿物包裹(中),Epic mineral supply,เสบียงแร่มหากาพย์
ItemName_dlc矿物包裹(大),Legendary mineral supply,เสบียงแร่ตำนาน
ItemName_dlc药材包裹(小),RareHerb supply,เสบียงสมุนไพรหายาก
ItemName_dlc药材包裹(中),EpicHerb supply,เสบียงสมุนไพรมหากาพย์
ItemName_dlc药材包裹(大),LegendaryHerb supply,เสบียงสมุนไพรตำนาน
ItemName_dlc木材包裹(小),RareWood supply,เสบียงไม้หายาก
ItemName_dlc木材包裹(中),EpicWood supply,เสบียงไม้มหากาพย์
ItemName_dlc木材包裹(大),LegendaryWood supply,เสบียงไม้ตำนาน
ItemName_dlc武道源流(小),Combat technique,ประสบการณ์การต่อสู้
ItemName_dlc武道源流(中),Combat arts,ศาสตร์แห่งการต่อสู้
ItemName_dlc武道源流(大),Way of combat,วิถีแห่งการต่อสู้
ItemName_dlc铜钱,Coin,อีแปะ
ItemName_dlc贡献点,Contribution Points,แต้มผลงาน
ItemName_dlc食物,Food,อาหาร
ItemName_dlc铁矿,Minerals,แร่
ItemName_dlc药品,Herb,สมุนไพร
ItemName_dlc木材,Wood,ไม้
ItemName_dlc破空梭,Wind Breaker,ผ่าวายุ
ItemName_dlc疾风刺,Wind Stab,แทงวายุกระโชก
ItemName_dlc龙蛇笔法,Dragon Snake Pen,พู่กันงูมังกรร่ายรำ
ItemName_dlc狂风扇诀,Tornado Fan,พัดวายุคลั่ง
ItemName_dlc流云飞扇,Drifting Cloud Fan,พัดเมฆาล่องลอย
ItemName_dlc阳春白雪,Spring White Snow,หิมะในฤดูใบไม้ผลิ
ItemName_dlc碧涧流泉,Flowing Mountain Stream,ลำธารภูเขาน้ำตก
ItemName_dlc暗香凌波,Hidden Fragrance Wave,คลื่นซ่อนหอม
ItemName_dlc泛沧浪,Floating Blue,เกลียวคลื่น
ItemName_dlc阳关三叠,Triassis Yangguan,ด่านหยางกวนสามท่อน
ItemName_dlc音波功,Soundwave Attack,พลังคลื่นเสียง
ItemName_dlc一指禅,Zen Finger,ฌานหนึ่งดรรชนี
ItemName_dlc罗汉拳法,Arhat Fist,หมัดอรหันต์
ItemName_dlc雷云掌,Thundercloud Palm,ฝ่ามือเมฆาอัสนี
ItemName_dlc七巧如意手,Dexterous Hand,หัตถ์เจ็ดปรารถนา
ItemName_dlc逍遥拳法,Carefree Fist,หมัดสราญรมย์
ItemName_dlc黑虎拳,Black Tiger Fist,หมัดพยัคฆ์ทมิฬ
ItemName_dlc迷魂毒掌,Enchanted Poison Palm,ฝ่ามือพิษลวงวิญญาณ
ItemName_dlc连环掌,Continuous Palm,ฝ่ามือต่อเนื่อง
ItemName_dlc开山刀法,Mountain Clear Blade,ดาบสะบั้นภูผา
ItemName_dlc破甲刀法,Armor Breaker Blade,ดาบผ่าเกราะ
ItemName_dlc雁行刀法,Wild Goose Blade,ดาบห่านป่า
ItemName_dlc风沙刀法,Sandstorm Blade,ดาบพายุทราย
ItemName_dlc修罗刀法,Shura Blade,เพลงดาบอสุรา
ItemName_dlc太乙剑法,Taiyi Sword,เพลงกระบี่ไทยี่
ItemName_dlc浣纱剑法,Huansha Sword,กระบี่ล่าสังหาร
ItemName_dlc须弥剑法,Sumeru Sword,เพลงกระบี่เขาพระสุเมรุ
ItemName_dlc九宫剑法,Nine Diagrams Sword,กระบี่เก้าลักษณ์
ItemName_dlc回风剑法,Wind Reversal Sword,กระบี่ลมหวน
ItemName_dlc莲花妙剑,Lotus Flower Sword,เพลงกระบี่ดอกบัว
ItemName_dlc游龙剑法,Dragon Roaming Sword,กระบี่มังกรร่ายรำ
ItemName_dlc大力棍法,Brutal Staff,กระบองพิฆาต
ItemName_dlc破阵大枪,Formation Breaker Spear,หอกทลายทัพ
ItemName_dlc腐尸枪法,Rotting Spear,เพลงหอกสลายซาก
ItemName_dlc普渡杖法,Enlighten Staff,ไม้เท้ารู้แจ้ง
ItemName_dlc蟠龙棍法,Dragon Staff,พลองมังกร
ItemName_dlc韦陀杖法,Veda Staff,พลองพระเวท
ItemName_dlc六合枪法,Six Forms Spear,หอกหกประสาน
ItemName_dlc儒雅风流,Elegant Romanticist,หรูหราสง่างาม
ItemName_dlc凌波诀,Wave Rider Technique,วิชาทะยานคลื่น
ItemName_dlc金钟罩,Golden Bell Technique,ระฆังทองคุ้มกาย
ItemName_dlc腐毒功,Poison Technique,วิชาพิษกัดกร่อน
ItemName_dlc金匮要略,Golden Manual,ตำรายาห้องทอง
ItemName_dlc玄煞劲,Nether Killing Force,ปราณปรโลกสังหาร
ItemName_dlc捕风诀,Wind Walker Manual,เคล็ดวิชาเหยียบวายุ
ItemName_dlc莽牛劲,Ox Power,พลังวัวคลั่ง
ItemName_dlc破甲劲,Armor Breaker Move,วิชาทลายเกราะ
ItemName_dlc剑法典籍,Sword Mastery,วิชากระบี่พื้นฐาน
ItemName_dlc混元劲,Origin Technique,พลังต้นกำเนิด
ItemName_dlc御兽术,Beast Taming Skill,วิชาฝึกสัตว์
ItemName_dlc调息法,Breathing Technique,เคล็ดปรับลมหายใจ
ItemName_dlc云龙三现,Cloud Dragon Three Strikes,สามมังกรเมฆาจู่โจม
ItemName_dlc银蛇流光,Silver Snake Mirage,เงาคลื่นอสรพิษเกล็ดเงิน
ItemName_dlc风雷刺法,Thunderstorm Strike,แทงวายุพิฆาตอัสนี
ItemName_dlc曹全碑,Cao Quan Steele,จารึกเฉาฉวน
ItemName_dlc逍遥游,Carefree Life,อิสระจร
ItemName_dlc风卷残云式,Storming Cloud Fan,พายุพัดเมฆากระหน่ำ
ItemName_dlc汉宫秋月,Autumn Palace Moon,พระราชวังฮั่นในคืนพระจันทร์สารท
ItemName_dlc鹧鸪天,Partridge Day,หยางกุ้ยเฟยร่ำเมรัย
ItemName_dlc蝶舞天涯,Dancing Butterfly Over Skyline,ระบำผีเสื้อเหนือเส้นขอบฟ้า
ItemName_dlc梅花三弄,Plum Flower Three Lanes,ตำนานรักดอกเหมย
ItemName_dlc高山流水,Mountain and River,เขาสูงธารน้ำไหล
ItemName_dlc般若掌,Prajna Palm,ฝ่ามือปัญญา
ItemName_dlc断魂爪,Soul Destroyer Claw,กรงเล็บสะบั้นวิญญาณ
ItemName_dlc破空拳,Breakthrough Fist,หมัดทลายนภา
ItemName_dlc通天手,Omnipotent Hand,หัตถ์ทงเทียน
ItemName_dlc大力金刚掌,Powerful Diamond Palm,ฝ่ามือวชิระ
ItemName_dlc伤情别离掌,Breakup Palm,ฝ่ามือกำสรด
ItemName_dlc醉仙拳,Wine God Fist,หมัดเซียนเมามาย
ItemName_dlc太极拳,Taichi Fist,หมัดไทเก๊ก
ItemName_dlc碧落黄泉,Death Road,เส้นทางมรณะ
ItemName_dlc怒流刀法,Furious Blade,ดาบพายุคลั่ง
ItemName_dlc霹雳刀法,Thunder Blade,ดาบอัสนี
ItemName_dlc破军刀法,Ruinous Star Blade,ดาบทลายทัพ
ItemName_dlc盘空刀法,Empty Blade,ดาบเวียนนภา
ItemName_dlc七旋斩,Seven Spins Blade,7 ดาบหมุนเวียน
ItemName_dlc碧磷刀法,Jade Blade,ดาบพิษมรกต
ItemName_dlc太极剑法,Taichi Sword,กระบี่ไทเก๊ก
ItemName_dlc素女剑法,Pure Maiden Sword,กระบี่ดรุณีใจสงบ
ItemName_dlc贪狼剑法,Flirting Star Sword,กระบี่หยอกดารา
ItemName_dlc求败九式,Dugu Nine Swords,เก้ากระบี่เดียวดาย
ItemName_dlc岁寒三友,Three Friends of Winter,สามสหายเหมันต์
ItemName_dlc凌尘剑法,Mortal Sword,เพลงกระบี่ธุลีดิน
ItemName_dlc苍穹剑法,Heaven Sword,เพลงกระบี่ฟ้ากว้าง
ItemName_dlc无锋剑法,Windless Sword,เพลงกระบี่ไร้คม
ItemName_dlc广寒剑法,Moon Palace Sword,เพลงกระบี่วังจันทรา
ItemName_dlc太虚十八剑,Taixu Eighteen Swords,ไท่ซวีสิบแปดกระบี่
ItemName_dlc星月剑法,Moon Star Sword,กระบี่จันทร์ดารา
ItemName_dlc忘忧剑法,Forgotten Sword,เพลงกระบี่ลืมทุกข์
ItemName_dlc黄泉引路枪,Death Bringer Spear,หอกเบิกทางยมโลก
ItemName_dlc云林棍法,Cloud Forest Staff,พลองป่าเมฆา
ItemName_dlc混元棍法,Origin Staff,พลองรวมศูนย์
ItemName_dlc叶家枪法,Ye Family Spear,เพลงหอกสกุลเย่
ItemName_dlc七杀枪法,Power Star Spear,หอกเจ็ดพิฆาต
ItemName_dlc疯魔棍法,Insanity Staff,พลองมารคลั่ง
ItemName_dlc金刚降魔杵,Evil Destroyer Diamond Staff,พลองวชิระสยบมาร
ItemName_dlc紧那罗王棍,Kinnara Staff,พลองราชากินนร
ItemName_dlc盛世春秋,Glorious Era,ยุคทองอันเจิดจรัส
ItemName_dlc太极玄,Nether Taichi,พลังไท้เก๊ก
ItemName_dlc横练金身,Forging Golden Body,กายาวัชระทองคำ
ItemName_dlc洛神步,God Step,ท่าเท้าเทพธิดา
ItemName_dlc五毒秘法,Five Poisons Secret Move,วิชาลับเบญจพิษ
ItemName_dlc纯阳功,Pure Yang Skill,พลังหยางบริสุทธิ์
ItemName_dlc四圣心源,Four Saints Origin,สี่หัวใจศักดิ์สิทธิ์
ItemName_dlc凌云步,Cloud Walker Step,ทะยานบันไดเมฆา
ItemName_dlc玄阴诀,Nether Yin Manual,เคล็ดหยินเร้นลับ
ItemName_dlc藏剑秘卷,Hidden Sword Secret Manual,คัมภีร์ลับกระบี่ซ่อน
ItemName_dlc寻龙术,Dragon Seeker Manual,ล่าหลุมฝังมังกร
ItemName_dlc武穆秘典,Yue Fei Secret Manual,ตำราลับงักฮุย
ItemName_dlc莽苍诀,Reckless Sky Technique,เคล็ดฟ้าประมาท
ItemName_dlc圣火燎原,Holy Flame Spreading,ประกายเพลิงศักดิ์สิทธิ์
ItemName_dlc罗刹毒经,Raksha Poison Sutra,รากษกพิษยสูตร
ItemName_dlc火蟾诀,Flame Toad Technique,พลังคางคกอัคคี
ItemName_dlc兽吼功,Beast Howling Move,ราชสีห์คำราม
ItemName_dlc海纳百川,Great Ocean Manual,พลังรวมสมุทร
ItemName_dlc五禽戏,Five Animal Forms,กายบริหารห้าสัตว์
ItemName_dlc天星诀,Celestial Star Manual,เคล็ดวิชาดาวสวรรค์
ItemName_dlc刺秦要诀,Killer's Secret,คัมภีร์ลับสังหารฉิน
ItemName_dlc江山多娇,Country Full of Beauties,แผ่นดินที่งดงาม
ItemName_dlc扇舞春秋,Spring and Autumn Fan,ระบำพัดสารทวสันต์
ItemName_dlc天外流星,Meteor from Outer Space,วิชาดาวตกนอกฟ้า
ItemName_dlc蝶恋花,Flirting Butterfly,ผีเสื้อเหย้าบุปผา
ItemName_dlc十面埋伏,Full Directional Ambush,ซุ่มจู่โจมทั้งสิบทิศ
ItemName_dlc广陵散,Guangling Melody,ลำนำแห่งกว่างหลิง
ItemName_dlc傲江湖,Proud Wanderer,เย้ยยุทธจักร
ItemName_dlc万蛊谣,Ancient Song,ลือเรื่องหมื่นพิษ
ItemName_dlc灭天掌,Sky Destroyer Palm,ฝ่ามือทลายสวรรค์
ItemName_dlc如来神掌,Vairocana Godly Palm,ฝ่ามือยูไล
ItemName_dlc撼天指法,Heaven Shaking Finger,ดรรชนีสะเทือนฟ้า
ItemName_dlc烈阳拳,Solar Fist,หมัดสุรีย์ผลาญ
ItemName_dlc贯云指,Cloud Piercing Finger,ดรรชนีทะลวงเมฆา
ItemName_dlc紫薇惊龙掌,Dragon King Palm,ฝ่ามือราชันมังกร
ItemName_dlc吞鲸刀法,Devouring Blade,ดาบกลืนกิน
ItemName_dlc斩天刀法,Heaven Cutting Blade Technique,เพลงดาบผ่าสวรรค์
ItemName_dlc天魔刀法,Archdemon Blade,ดาบมารสวรรค์
ItemName_dlc一刀斩,One Blade,พิฆาตในดาบเดียว
ItemName_dlc无极剑法,Infinity Sword,เพลงกระบี่ไร้ขอบเขต
ItemName_dlc磐龙剑法,Dragon Sword,เพลงกระบี่มังกร
ItemName_dlc破天剑法,Sky Breaker Sword,เพลงกระบี่ทลายฟ้า
ItemName_dlc浮华掠影剑,Illusion Sword,เพลงกระบี่มายาลวง
ItemName_dlc九黎巫叉,Jiuli Trident,หอกตรีศูลจิ่วลี่
ItemName_dlc天罡飞龙杖,Polaris Wyvern Staff,ไม้เท้ามังกรสวรรค์
ItemName_dlc沥泉枪法,Slipstream Spear,วิชาหอกธาราหยด
ItemName_dlc达摩杖法,Dharma Staff,ไม้เท้าโพธิธรรม
ItemName_dlc儒十三经,Confucius Thirteen Sutras,ขงจื้อสิบสามคัมภีร์
ItemName_dlc无极混元功,Infinity Origin Move,พลังรวมศูนย์ไร้สิ้นสุด
ItemName_dlc大日如来经,Vairocana Solar Sutra,ไวโรจนะมหาสูตร
ItemName_dlc天魔噬魂术,Archdemon's Soul Eating Skill,มารฟ้ากลืนวิญญาณ
ItemName_dlc霓裳羽衣经,Dancing Garment Sutra,คัมภีร์อาภรณ์ร่ายรำ
ItemName_dlc巫蛊毒功,Ancient Sage Poison Technique,มนตร์พิษโบราณ
ItemName_dlc惊涛骇浪诀,Tsunami Manual,คลื่นพายุกระหน่ำ
ItemName_dlc兽王诀,Beast King Technique,วิชาราชาสัตว์ร้าย
ItemName_dlc天女散花,Celestial Lady Scattering Flowers,เทพธิดาโปรยบุปผา
ItemName_dlc九霄真经,Heaven Sutra,คัมภีร์เก้าชั้นฟ้า
ItemName_dlc满江红扇,Prismatic River Fan,พัดแม่น้าสีชาด
ItemName_dlc圣火神功,Holy Fire Divine Skill,พลังเพลิงศักดิ์สิทธิ์
ItemName_dlc祈禳大法,Prayer Manual,คัมภีร์ภาวนา
ItemName_dlc万民掌,People's Palm,ฝ่ามือมวลชน
ItemName_dlc无名剑法,Nameless Sword,เพลงกระบี่ไร้นาม
ItemName_dlc蛮荒霸道斩,Savage Primal Blade,ดาบพิฆาตอำมหิต
ItemName_dlc百鸟朝凰枪,Phoenix Ascension Spear,หอกร้อยวิหคเพลิงสวรรค์
ItemName_dlc分光流星刺,Luminary Meteor Strike,พายุดาวตกกระจายแสง
ItemName_dlc笑红尘,Laughing at the World,ยิ้มเยาะโลก
ItemName_dlc玛瑙,Agate,โมรา
ItemName_dlc猫眼石,Opal,โอปอล
ItemName_dlc孔雀石,Malachite,แร่นกยูง
ItemName_dlc天珠,Dzi bead,ลูกปัดหินซี
ItemName_dlc武林凭证,Martial World Certificate,เหรียญยุทธภพ
