﻿Talking_Carp,Carp,ปลาคาร์ป
PLD-3_overview5,"The clue is broken, Boss Qian must be in Lin'an City, search every corner of Lin'an City.",เบาะแสขาดหายไปแล้ว เจ้าสัวเฉียนต้องอยู่ในเมืองหลินอันแน่ ค้นหาทุกซอกทุกมุมของเมืองหลินอัน
PLD-3_overview6,"Try to gather 100 Guan to get a chance to board the ship, or...","พยายามรวบรวมเงินให้ครบ 100 ตำลึง เพื่อแลกโอกาสในการขึ้นเรือ, หรือ..."
PLD-3_overview7,Go to the vicinity of Lin'an City Pier when you are ready to set off.,เมื่อท่านพร้อมออกเดินทางแล้ว ให้ไปยังบริเวณท่าเรือเมืองหลินอัน
PLD-3_overview8,"Go to Lin'an City Wine God Tower, find Qian Yankai who can go to Penglai Island.",ไปยังหอคอยเทพสุราในเมืองหลินอัน ค้นหาเฉียนเหยียนไค ผู้ที่สามารถเดินเรือไปยังเกาะเผิงไหลได้
PLD-3_NPCname,Jian Chi's voice,เสียงของมารกระบี่
R400008-2_option1_1,"Two guan is not much for me, here you go.<color=#097a76>(2000 Coin)</color>","สองตำลึงสำหรับข้าแล้วไม่มากนัก, รับไปสิ<color=#097a76>(2000 อีแปะ)</color>"
R400008-2_option1_2,"I'll be coming often, can you give me a discount?<color=#097a76>(1000 Coin, Persuade reaches 4th level Expert)</color>","ข้าจะมาที่นี่บ่อยๆ คิดราคาข้าถูกๆหน่อยเถิด <color=#097a76>(1000 อีแปะ, ทักษะโน้มน้าวถึงระดับ 4)</color>"
R400008-2_option1_3,Why don't you find out who I am?<color=#097a76>(Benevolence＜-20)</color>,เจ้าไม่ลองไปสืบดูหน่อยหรือว่าข้าเป็นใคร <color=#097a76>(ศีลธรรม＜-20)</color>
R400008-2_option1_4,Talk about it later.,ไว้ค่อยคุยกันทีหลัง
R400008-3_option1_1,Pay 100 guan to board the ship.<color=#097a76>(100 guan)</color>,จ่ายเงิน 100 ตำลึงเพื่อขึ้นเรือ <color=#097a76>(100 ตำลึง)</color>
R400008-3_option1_2,Use force to threaten!<color=#097a76>(Benevolence≤-50)</color>,ใช้กำลังขู่เข็ญ!<color=#097a76>(ศีลธรรม≤-50)</color>
R400008-3_option1_3,Try to persuade him to lower the price.<color=#097a76>(Persuade reaches 4th level Expert)</color>,พยายามเจรจาต่อรองให้ลดราคาลง <color=#097a76>(ทักษะโน้มน้าวถึงระดับ 4)</color>
R400008-3_option1_4,Let Shen Wuqi handle it.<color=#097a76>(Shen Wuqi is in the team)</color>,ให้ เสิ่นอู๋ฉี ออกหน้าแทน <color=#097a76>(เสิ่นอู๋ฉีอยู่ในทีม)</color>
R400008-3_option1_5,Let Yan Rurui handle it.<color=#097a76>(Yan Rurui is in the team)</color>,ให้ เหยียนหรูรุ่ย ออกหน้าแทน <color=#097a76>(เหยียนหรูรุ่ยอยู่ในทีม)</color>
R400008-3_option1_6,Declare your identity as the Royal son-in-law.,ประกาศตัวตนว่าเป็นราชบุตรเขย
R400008-3_option1_7,Think of another way.,คิดหาหนทางอื่น
R400008-3-1_option1_1,Give him a Golden carp.<color=#097a76>(Golden carp 1)</color>,ให้ปลาคาร์ปทองคำแก่เขา <color=#097a76>(ปลาคาร์ปทองคำ 1ตัว)</color>
R400008-3-1_option1_2,"Poison the Golden carp before giving it to him.<color=#097a76>(Golden carp 1, Toxicology≥50)</color>","ใส่ยาพิษลงในปลาคาร์ปทองคำแล้วค่อยให้เขา <color=#097a76>(ปลาคาร์ปทองคำ 1ตัว, ศาสตร์พิษ≥50)</color>"
R400008-3-1_option1_3,Wait a bit longer.,รออีกสักหน่อย
R400008-3-1_option1_4,Give him five Golden carp. <color=#097a76>(Golden carp 5)</color>,ให้ปลาคาร์ปทองคำแก่เขา 5 ตัว <color=#097a76>(ปลาคาร์ปทองคำ 5 ตัว)</color>
R400008-3-1_option1_5,Give him ten Golden carp. <color=#097a76>(Golden carp 10)</color>,ให้ปลาคาร์ปทองคำแก่เขา 10 ตัว <color=#097a76>(ปลาคาร์ปทองคำ 10 ตัว)</color>
PLD-4_option1_1,Set off! <color=#c44b0e>(Unable to return to Central Plains for a while)</color>,ออกเดินทาง! <color=#c44b0e>(ไม่สามารถกลับมายังจงหยวนได้ในชั่วระยะเวลาหนึ่ง)</color>
PLD-4_option1_2,"Set off! <color=#c44b0e>(Some Sect Leaders leave the team, unable to return to Central Plains for a while)</color>","ออกเดินทาง! <color=#c44b0e>(ประมุขสำนักบางคนออกจากทีม, ไม่สามารถกลับมายังจงหยวนได้ในชั่วระยะเวลาหนึ่ง)</color>"
PLD-4_option1_3,Wait a bit longer.,รออีกสักหน่อย
PLD-4_NPCname1,A familiar voice,เสียงที่คุ้นเคย
PLD-4_NPCname2,A young voice,เสียงอ่อนเยาว์
PLD-5_name,On the Merchant ship,บนเรือสำเภา
PLD-5_overview1,"Take a stroll on the ship or kill time, the time left to reach Penglai Island is:","เดินเล่นบนเรือหรือหาอะไรทำฆ่าเวลา, ระยะเวลาที่เหลือก่อนจะถึงเกาะเผิงไหล คือ:"
M2321-1_option1_1,Knock on the door.,เคาะประตู
M2321-1_option1_2,Run away.,จากไป
M2324-1_option1_1,Fight.<color=#097a76>(Solo fight by the protagonist)</color>,รับมือ <color=#097a76>(ตัวเอกประลองเดี่ยวเท่านั้น)</color>
M2324-1_option1_2,Prepare again.,เตรียมพร้อมอีกครั้ง
M2324-1_NPCname,Voice of the Master of Taihua Sect,เสียงของเจ้าสำนักไท่ฮัว
M2321-2_option1_1,Knock on the door.,เคาะประตู
M2321-2_option1_2,Run away.,จากไป
M2321-2_option2_1,Peep!,แอบดู!
M2321-2_option2_2,"Peeping is against Propriety, better not.","การแอบดูเป็นการเสียมารยาท, ไม่ควรทำ"
M2321-2_option3_1,"Barge in!<color=#c44b0e>(Specific battle, only the protagonist fights)</color>","บุกรุกเข้าไป!<color=#c44b0e>(เข้าสู่การต่อสู้, ตัวเอกสู้คนเดียว)</color>"
M2321-2_option3_2,Trust Zhong Yangzi to solve it.,ข้าเชื่อมั่นว่าท่านฉงหยางสื่อสามารถจัดการได้
M2320-1_option1_1,"Alright!<color=#097a76>(2 Ke, 10 Stamina, solo fight by the protagonist)</color>","ย่อมได้!<color=#097a76>(2 เค่อ, 10 แรงกาย, ตัวเอกสู้คนเดียว)</color>"
M2320-1_option1_2,Let's talk about it later.,ไว้ค่อยว่ากันภายหลัง
M2326-2_option1_1,Enter the room.,เข้าไปในห้อง
M2326-2_option1_2,Stay away for now.,ขอปลีกตัวสักพัก
M2326-3_NPCname1,A young man's voice,เสียงชายเยาว์วัย
M2326-3_option1_1,Knock on the door.,เคาะประตู
M2326-3_option1_2,Don't disturb the rest of the people inside.,อย่ารบกวนการพักผ่อนของคนข้างใน
M2330-6_option1_1,"Enter the warehouse<color=#c44b0e>(Specific battle, arrive at Penglai)</color>","เข้าไปในห้องเก็บสินค้า<color=#c44b0e>(เข้าสู่การต่อสู้, เดินทางมาถึงเกาะเผิงไหล)</color>"
M2330-6_option1_2,Talk about it later.,ค่อยว่ากันภายหลัง
M2322-3_option1_1,Agree with Master Wu Jing.,เห็นพ้องกับท่านไต้ซืออู่จิ้ง
M2322-3_option1_2,This matter needs to be investigated thoroughly.<color=#c44b0e>(Solo fight by the protagonist)</color>,เรื่องนี้ต้องได้รับการตรวจสอบอย่างละเอียด <color=#c44b0e>(ตัวละครเอกฉายเดี่ยว)</color>
I51801-2_option1_1,"Restore!<color=#097a76>(3 days, 100 Stamina, solo fight by the protagonist)</color>","กู้คืนสภาพเดิม!<color=#097a76>(3 วัน, 100 แรงกาย, ตัวละครเอกฉายเดี่ยว)</color>"
I51801-2_option1_2,Hold off for now.,พักเรื่องนี้ไว้ก่อน
M2342-1_option1_1,Prepare to enter.<color=#c44b0e>(Multiple battles)</color>,เตรียมพร้อมที่จะเข้าไป! <color=#c44b0e>(การต่อสู้หลายครั้ง)</color>
M2342-1_option1_2,I'll prepare again.,ข้าจะเตรียมพร้อมอีกครั้ง
M2342-1_option2_1,The one on the left!,ทางซ้าย!
M2342-1_option2_2,The one on the right!,ทางขวา!
M2342-1_option2_3,"If you seek death, suit yourself!",หากเจ้าประสงค์จะดับชีพ ก็สุดแท้แต่ใจ!
M2342-1_NPCname1,A male voice that captivates all beings,เสียงชายที่สะท้านไปทั่วทุกสารทิศ
M2342-1_NPCname2,Voice of Wang Bushu,เสียงของหวังปู้ซู
M2342-1_NPCname3,A weird hoarse voice,เสียงแหบแห้งที่แปลกประหลาด
