﻿StoryGroup_死亡结局,Death ending.,ฉากจบมรณะ
StoryGroup_悬赏-缉拿要犯类型任务,Bounty - Wanted criminal type task.,ค่าหัว - ประเภทภารกิจตามล่าคนร้าย
StoryGroup_青风寨事件,Blue Wind Camp events.,เหตุการณ์ค่ายวายุคราม
StoryGroup_燕子窝事件,The story of Nest of Swallow.,เรื่องราวของรังนกนางแอ่น
StoryGroup_神捕门事件,The story of Crime Investigation Bureau.,เรื่องราวของสำนักสืบสวน
StoryGroup_琅琊剑阁事件,The story of Langya Sword Pavilion.,เรื่องราวของศาลากระบี่หลางหยา
StoryGroup_灭门自动退门事件,Automatic exit event of extermination.,เหตุการณ์ทางออกอัตโนมัติหลังจากประตูถูกทำลาย
StoryGroup_摸金门事件,The story of Tomb Raider Sect.,เรื่องราวของสำนักปล้นสุสาน
StoryGroup_九江水寨事件,The story of Jiujiang Water Camp.,เรื่องราวของค่ายน้ำจิ่วเจียง
StoryGroup_释法寺事件,Shifa Temple events.,เรื่องราวของอารามฉีฟา
StoryGroup_儒圣馆的故事,The story of Confucius Temple.,เรื่องราวของวัดขงจื้อ
StoryGroup_道玄宗的故事,The story of Taoist Sect.,เรื่องราวของสำนักเต๋า
StoryGroup_江湖事件,Jianghu events.,เหตุการณ์ในยุทธภพ
StoryGroup_霖安城事件,Lin'an City events.,เรื่องราวของเมืองหลินอัน
StoryGroup_琳琅馆事件,Linlang Temple events.,เหตุการณ์วัดหลินหลาง
StoryGroup_楚襄城事件,Chuxiang City events.,เหตุการณ์เมืองฉู่เซียง
StoryGroup_临时事件,Temporary events.,เหตุการณ์ชั่วคราว
StoryGroup_善后补漏事件,Follow-up events.,เหตุการณ์ที่ตามมา
StoryGroup_5门派切磋新事件,New events of 5 sects' competition.,5 นิกายหารือเกี่ยวกับเหตุการณ์ใหม่
StoryGroup_青风寨悬赏,Bounty of Blue Wind Camp.,ค่าหัวของค่ายวายุคราม
StoryGroup_琅琊剑阁悬赏,Bounty of Langya Sword Pavilion.,ค่าหัวของศาลากระบี่หลางหยา
StoryGroup_燕子窝悬赏,Bounty of Nest of Swallow.,ค่าหัวของรังนกนางแอ่น
StoryGroup_神捕门悬赏,Bounty of Crime Investigation Bureau.,ค่าหัวของสำนักสืบสวน
StoryGroup_道玄宗悬赏,Bounty of Taoist Sect.,ค่าหัวของลัทธิเต๋า
StoryGroup_全局状态检测事件,Global status check event.,เหตุการณ์การตรวจสอบสถานะทั่วโลก
StoryGroup_大梁城事件,Daliang City events.,เหตุการณ์ในเมืองต้าเหลียง
StoryGroup_伙伴事件,Companion events.,เหตุการณ์ของสหาย
StoryGroup_骰子事件1,Dice event 1.,กิจกรรมทอยเต๋า 1
StoryGroup_骰子事件2,Dice event 2.,กิจกรรมทอยเต๋า 2
StoryGroup_成就事件,Achievement events.,เหตุการณ์ความสำเร็จ
StoryGroup_马车通知事件,Horse carriage notification event.,กิจกรรมแจ้งรถม้า
StoryGroup_老魔头系列事件,Lao Motou series events.,เหตุการณ์ของเหลาโม่โถว
StoryGroup_妙音坊的故事,The story of Melody House.,เรื่องราวของตำหนักบทเพลง
StoryGroup_九黎部落的故事,The story of the Jiuli Tribe.,เรื่องราวของชนเผ่าจิ่วลี่
StoryGroup_燕歌行的故事,Matters of the Sect,เรื่องราวของสำนัก
StoryGroup_小虾米立志,Little shrimp's ambition,ปณิธานของเด็กน้อย
StoryGroup_康王登基syy,Kang Wang's coronation.,พิธีราชาภิเษกของคังหวัง
